relpath,path,width,height,size_kb,mtime,error
1_1\photo\photo_2026-04-09_19-36-57.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-36-57.jpg,960,1280,175.8,1780390268.5324564,
1_1\photo\photo_2026-04-09_19-37-48.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-48.jpg,960,1280,396.1,1780390456.1692297,
1_1\photo\photo_2026-04-09_19-37-56.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-37-56.jpg,768,1024,115.1,1780390204.022814,
1_1\photo\photo_2026-04-09_19-38-04.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\1_1\photo\photo_2026-04-09_19-38-04.jpg,721,1280,220.3,1780390383.8513646,
2_1\photos\photo_2026-04-09_20-37-59.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2026-04-09_20-37-59.jpg,1920,2560,465.5,1780390476.2875967,
2_1\photos\photo_2_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_2_2026-04-09_20-38-32.jpg,1920,2560,246.3,1780390394.1327102,
2_1\photos\photo_3_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_3_2026-04-09_20-38-32.jpg,1920,2560,288.3,1780390410.9959083,
2_1\photos\photo_4_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_4_2026-04-09_20-38-32.jpg,1920,2560,751.0,1780390181.7540984,
2_1\photos\photo_5_2026-04-09_20-38-32.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\2_1\photos\photo_5_2026-04-09_20-38-32.jpg,1920,2560,345.3,1780390428.3205788,
3_1\photo\IMG_20190814_110411.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\3_1\photo\IMG_20190814_110411.jpg,4000,3000,9827.0,1780387730.3574007,
3_1\photo\IMG_20190814_110418(1).jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\3_1\photo\IMG_20190814_110418(1).jpg,4000,3000,9352.6,1780387764.280199,
3_1\photo\IMG_20190814_110418.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\3_1\photo\IMG_20190814_110418.jpg,4000,3000,9352.6,1780387765.3521,
3_1\photo\IMG_20190821_140529.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\3_1\photo\IMG_20190821_140529.jpg,2160,3840,3122.9,1780389385.9446805,
3_1\photo\photo_2019-11-13_09-17-06.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\3_1\photo\photo_2019-11-13_09-17-06.jpg,720,1280,74.6,1780390152.2339864,
