group,image_name,image_path,method,status,mesh_count,mesh_names
crops,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-36-57_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-36-57_facecrop_3ddfa_v2_face1.ply
crops,1_1_photo_2026-04-09_19-36-57_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-36-57_facecrop.jpg,mediapipe,ok,1,kate_crop_1_1_photo_2026_04_09_19_36_57_facecrop_mediapipe_facemesh.ply
crops,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-37-48_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-48_facecrop_3ddfa_v2_face1.ply
crops,1_1_photo_2026-04-09_19-37-48_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-37-48_facecrop.jpg,mediapipe,ok,1,kate_crop_1_1_photo_2026_04_09_19_37_48_facecrop_mediapipe_facemesh.ply
crops,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-37-56_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-37-56_facecrop_3ddfa_v2_face1.ply
crops,1_1_photo_2026-04-09_19-37-56_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-37-56_facecrop.jpg,mediapipe,ok,1,kate_crop_1_1_photo_2026_04_09_19_37_56_facecrop_mediapipe_facemesh.ply
crops,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-38-04_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_1_1_photo_2026-04-09_19-38-04_facecrop_3ddfa_v2_face1.ply
crops,1_1_photo_2026-04-09_19-38-04_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\1_1_photo_2026-04-09_19-38-04_facecrop.jpg,mediapipe,ok,1,kate_crop_1_1_photo_2026_04_09_19_38_04_facecrop_mediapipe_facemesh.ply
crops,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_2026-04-09_20-37-59_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_2_1_photo_2026-04-09_20-37-59_facecrop_3ddfa_v2_face1.ply
crops,2_1_photo_2026-04-09_20-37-59_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_2026-04-09_20-37-59_facecrop.jpg,mediapipe,ok,1,kate_crop_2_1_photo_2026_04_09_20_37_59_facecrop_mediapipe_facemesh.ply
crops,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_2_1_photo_2_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply
crops,2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_2_2026-04-09_20-38-32_facecrop.jpg,mediapipe,ok,1,kate_crop_2_1_photo_2_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply
crops,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_2_1_photo_3_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply
crops,2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_3_2026-04-09_20-38-32_facecrop.jpg,mediapipe,ok,1,kate_crop_2_1_photo_3_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply
crops,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_2_1_photo_4_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply
crops,2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_4_2026-04-09_20-38-32_facecrop.jpg,mediapipe,ok,1,kate_crop_2_1_photo_4_2026_04_09_20_38_32_facecrop_mediapipe_facemesh.ply
crops,2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,D:\YandexDisk\kondratevakate\01_insidekatesbrain\01_my_brain_years\faceage_brainage\avatar_2026\photo_crops_3ddfa_1024\2_1_photo_5_2026-04-09_20-38-32_facecrop.jpg,3ddfa_v2,ok,1,kate_crops_3ddfa_1024_2_1_photo_5_2026-04-09_20-38-32_facecrop_3ddfa_v2_face1.ply
